id,document,tag,content
9,1867 - CAPTAIN THUNDERBOLT..txt,Newspaper,Maitland Mercury and Hunter River General Advertiser
10,1867 - CAPTAIN THUNDERBOLT..txt,State,NSW
12,1867 - CAPTAIN THUNDERBOLT..txt,Date article was published,Saturday 9 February 1867
13,1867 - CAPTAIN THUNDERBOLT..txt,Newspaper page,page 5
22,1867 - CAPTAIN THUNDERBOLT..txt,Textual Techniques,CAPTAIN THUNDERBOLT.
14,1867 - CAPTAIN THUNDERBOLT..txt,Law Enforcement,police
15,1867 - CAPTAIN THUNDERBOLT..txt,Location,Manilla
16,1867 - CAPTAIN THUNDERBOLT..txt,Item stolen,four hun-dred pounds
17,1867 - CAPTAIN THUNDERBOLT..txt,Victim,mail
19,1867 - CAPTAIN THUNDERBOLT..txt,Textual Techniques,Thunderbolt escaped!
20,1867 - CAPTAIN THUNDERBOLT..txt,Archive stored at,National Library of Australia
321,1988 - Captain Thunderbolt rides again.txt,Newspaper,Canberra Times
322,1988 - Captain Thunderbolt rides again.txt,State,ACT
323,1988 - Captain Thunderbolt rides again.txt,Date article was published,Thursday 10 November 1988
324,1988 - Captain Thunderbolt rides again.txt,Captain Thunderbolt,Captain Thunderbolt
325,1988 - Captain Thunderbolt rides again.txt,Modern Interpretation,"MUSIC-DRAMA” about the relationship between a singing bushranger and his opera-fancying girlfriend opens in Queanbeyan tonight. It is Captain Thunderbolt by local composer Vivien Arnold, who is also the director of the show."
326,1988 - Captain Thunderbolt rides again.txt,Captain Thunderbolt,"Captain Thunderbolt, alias Frederick Ward,"
327,1988 - Captain Thunderbolt rides again.txt,Charming,"habit of singing the Victorian parlour song,"
328,1988 - Captain Thunderbolt rides again.txt,Wife,"Mary Ann Bugg,"
329,1988 - Captain Thunderbolt rides again.txt,Victim,once bailed up a German band and made them play opera numbers.
329,1988 - Captain Thunderbolt rides again.txt,Terrorised,once bailed up a German band and made them play opera numbers.
329,1988 - Captain Thunderbolt rides again.txt,Charming,once bailed up a German band and made them play opera numbers.
330,1988 - Captain Thunderbolt rides again.txt,Terrorised,"Sydney and then north of Newcastle up to the Queensland border — and stole 20,000 pounds, but he was “the Robin Hood of Australia in many ways”, Arnold said."
330,1988 - Captain Thunderbolt rides again.txt,Charming,"Sydney and then north of Newcastle up to the Queensland border — and stole 20,000 pounds, but he was “the Robin Hood of Australia in many ways”, Arnold said."
330,1988 - Captain Thunderbolt rides again.txt,Romantised,"Sydney and then north of Newcastle up to the Queensland border — and stole 20,000 pounds, but he was “the Robin Hood of Australia in many ways”, Arnold said."
330,1988 - Captain Thunderbolt rides again.txt,Common hero,"Sydney and then north of Newcastle up to the Queensland border — and stole 20,000 pounds, but he was “the Robin Hood of Australia in many ways”, Arnold said."
331,1988 - Captain Thunderbolt rides again.txt,Gave money back,would-be victims keep their money if he found they were in need.
332,1988 - Captain Thunderbolt rides again.txt,Author,MARK UHLMANN
333,1988 - Captain Thunderbolt rides again.txt,Archive stored at,National Library of Australia
312,1951 - The Real Captain Thunderbolt.txt,Newspaper,Newcastle Morning Herald and Miners’ Advocate
313,1951 - The Real Captain Thunderbolt.txt,State,NSW
314,1951 - The Real Captain Thunderbolt.txt,Date article was published,Saturday 15 December 1951
315,1951 - The Real Captain Thunderbolt.txt,Captain Thunderbolt,"Captain Thunderbolt, daringand chivalrous bush ranger who roamed the area in the wild colonial days."
315,1951 - The Real Captain Thunderbolt.txt,Positive mentioning,"Captain Thunderbolt, daringand chivalrous bush ranger who roamed the area in the wild colonial days."
315,1951 - The Real Captain Thunderbolt.txt,Described as not criminals,"Captain Thunderbolt, daringand chivalrous bush ranger who roamed the area in the wild colonial days."
315,1951 - The Real Captain Thunderbolt.txt,Charming,"Captain Thunderbolt, daringand chivalrous bush ranger who roamed the area in the wild colonial days."
315,1951 - The Real Captain Thunderbolt.txt,Romantised,"Captain Thunderbolt, daringand chivalrous bush ranger who roamed the area in the wild colonial days."
316,1951 - The Real Captain Thunderbolt.txt,Location,Uralla
317,1951 - The Real Captain Thunderbolt.txt,Romantised,"romantic air that gradually grew around Britten and pictures him as a strange composite-an innocent forced to the path of crime; a dashing,rather heroic figure; a goodfighter and expert horseman, reckless enough to ride(safely)over a 20ft. waterfall, sentimental enough to cry at sad news. His reputation for chivalry developed from his habits of never robbing a woman, never harming his victims (except the Pelican, a thoroughly unpleasant cattle-duffer who was responsible for his serving a term of imprisonment), of guiding women-travelers on their journey,and of returning what he had stolen in hold-ups if he found the people he had robbed were in poor circumstances. Annie Rixon calls him Australia’s Robin Hood."
318,1951 - The Real Captain Thunderbolt.txt,Common hero,"She tells how people felt so keenly for him that it became custom through the countryside for women to hang red blankets outside their homesteads to warn him if troopers were in the neighbourhood, and white sheets when it was safe to approach."
319,1951 - The Real Captain Thunderbolt.txt,Archive stored at,National Library of Australia
198,1866 - DOINGS OF THE BUSHRANGERS..txt,Newspaper,Queenslander
199,1866 - DOINGS OF THE BUSHRANGERS..txt,State,Brisbane
200,1866 - DOINGS OF THE BUSHRANGERS..txt,Date article was published,Saturday 28 April 1866
201,1866 - DOINGS OF THE BUSHRANGERS..txt,Captain Thunderbolt,CAPTAIN THUNDERBOLT’S
206,1866 - DOINGS OF THE BUSHRANGERS..txt,Location,"Namoi River informs us that the Springs public-house, head of Cox’s Creek, some fifty miles this sides of the Namoi River, on Sunday, the 8th instan"
202,1866 - DOINGS OF THE BUSHRANGERS..txt,Suggestive Language,ordered
203,1866 - DOINGS OF THE BUSHRANGERS..txt,Positive mentioning,"he bushranger made himself quite at home, and was somewhat chatty, but did not make use of any improper expression, nor did he attempt to “stick-up.”"
203,1866 - DOINGS OF THE BUSHRANGERS..txt,Charming,"he bushranger made himself quite at home, and was somewhat chatty, but did not make use of any improper expression, nor did he attempt to “stick-up.”"
205,1866 - DOINGS OF THE BUSHRANGERS..txt,Charming,he paid his score like a and rode away—bidding the landlord good-bye.
207,1866 - DOINGS OF THE BUSHRANGERS..txt,Injured,lameness
208,1866 - DOINGS OF THE BUSHRANGERS..txt,Misleading media ,but not to the extent recently represented by the Press
209,1866 - DOINGS OF THE BUSHRANGERS..txt,Newspaper,Saturday’s Tamworih Examiner
210,1866 - DOINGS OF THE BUSHRANGERS..txt,Law Enforcement,ollowing him up with commendable zeal and promptitude.
210,1866 - DOINGS OF THE BUSHRANGERS..txt,Police response,ollowing him up with commendable zeal and promptitude.
211,1866 - DOINGS OF THE BUSHRANGERS..txt,Wife,his lady love
211,1866 - DOINGS OF THE BUSHRANGERS..txt,Misleading media ,his lady love
212,1866 - DOINGS OF THE BUSHRANGERS..txt,Law Enforcement,"Mr. Superintendent Garland dispatched senior-constable Hing, of Nundle, constable Buckland, and a black tracker in search in that neighborhood"
212,1866 - DOINGS OF THE BUSHRANGERS..txt,Indigenous tracker,"Mr. Superintendent Garland dispatched senior-constable Hing, of Nundle, constable Buckland, and a black tracker in search in that neighborhood"
212,1866 - DOINGS OF THE BUSHRANGERS..txt,Intent to capture ,"Mr. Superintendent Garland dispatched senior-constable Hing, of Nundle, constable Buckland, and a black tracker in search in that neighborhood"
213,1866 - DOINGS OF THE BUSHRANGERS..txt,Item stolen,ster Cheeseborough
213,1866 - DOINGS OF THE BUSHRANGERS..txt,Victim,ster Cheeseborough
214,1866 - DOINGS OF THE BUSHRANGERS..txt,Money ,for £1145 15
215,1866 - DOINGS OF THE BUSHRANGERS..txt,Reference to previous crime,"e Barraba mail, when stuck-up by Ward."
216,1866 - DOINGS OF THE BUSHRANGERS..txt,Location,"Tomullah Ranges, at the back of the Denison diggings, or about the head of the Denison diggings, or about the the Gloucester River."
196,1866 - DOINGS OF THE BUSHRANGERS..txt,Archive stored at,National Library of Australia
251,1867 - THUNDERBOLT AGAIN..txt,Newspaper,Armidale Express and New England General Advertiser
252,1867 - THUNDERBOLT AGAIN..txt,State,NSW
253,1867 - THUNDERBOLT AGAIN..txt,Date article was published,"Saturday 1 June 1867,"
254,1867 - THUNDERBOLT AGAIN..txt,Location,Armidale
255,1867 - THUNDERBOLT AGAIN..txt,Captain Thunderbolt,Thunderboltand his mate
255,1867 - THUNDERBOLT AGAIN..txt,Gang,Thunderboltand his mate
256,1867 - THUNDERBOLT AGAIN..txt,Location,Wallabadah
257,1867 - THUNDERBOLT AGAIN..txt,Item stolen,value
258,1867 - THUNDERBOLT AGAIN..txt,Law Enforcement,"he police are said to have been on the track of the robbers, and not far from them,when the mail was plundered."
258,1867 - THUNDERBOLT AGAIN..txt,Police response,"he police are said to have been on the track of the robbers, and not far from them,when the mail was plundered."
258,1867 - THUNDERBOLT AGAIN..txt,Intent to capture ,"he police are said to have been on the track of the robbers, and not far from them,when the mail was plundered."
259,1867 - THUNDERBOLT AGAIN..txt,Negative response to Bushrangers,Some hope is therefore entertained of their capture shortly.
260,1867 - THUNDERBOLT AGAIN..txt,Reward for capture,reward of £200
263,1867 - THUNDERBOLT AGAIN..txt,Reference to previous crime,"appears that Ward escaped from Cockatoo on the 11th Sept., 1863."
261,1867 - THUNDERBOLT AGAIN..txt,Archive stored at,National Library of Australia
156,"1866 - CAPTURE OF WARD, THE BUSHRANGER, AND PURSUI",Newspaper,Brisbane Courier
157,"1866 - CAPTURE OF WARD, THE BUSHRANGER, AND PURSUI",Date article was published,Thursday 12 April 1866
158,"1866 - CAPTURE OF WARD, THE BUSHRANGER, AND PURSUI",Author,Maitland Mercury’s Stroud correspondent
159,"1866 - CAPTURE OF WARD, THE BUSHRANGER, AND PURSUI",Law Enforcement,"Sergeant Finlay, with sergeant Kerrigan and constable Sculley,"
160,"1866 - CAPTURE OF WARD, THE BUSHRANGER, AND PURSUI",Caught by police,Mrs. Thunderbolt and one child
160,"1866 - CAPTURE OF WARD, THE BUSHRANGER, AND PURSUI",Wife,Mrs. Thunderbolt and one child
160,"1866 - CAPTURE OF WARD, THE BUSHRANGER, AND PURSUI",Children,Mrs. Thunderbolt and one child
161,"1866 - CAPTURE OF WARD, THE BUSHRANGER, AND PURSUI",Escaped,Thunderbolt made his escape two days
162,"1866 - CAPTURE OF WARD, THE BUSHRANGER, AND PURSUI",Law Enforcement,Manning police
163,"1866 - CAPTURE OF WARD, THE BUSHRANGER, AND PURSUI",Item stolen,bullock
164,"1866 - CAPTURE OF WARD, THE BUSHRANGER, AND PURSUI",Item stolen,"takes another, a fine racehorse"
165,"1866 - CAPTURE OF WARD, THE BUSHRANGER, AND PURSUI",Indigenous tracker,police (Buckley) and a black tracker.
165,"1866 - CAPTURE OF WARD, THE BUSHRANGER, AND PURSUI",Police response,police (Buckley) and a black tracker.
166,"1866 - CAPTURE OF WARD, THE BUSHRANGER, AND PURSUI",Location,"Pignaum Barney,"
167,"1866 - CAPTURE OF WARD, THE BUSHRANGER, AND PURSUI",Law Enforcement,"Sergeant Kerrigan,"
168,"1866 - CAPTURE OF WARD, THE BUSHRANGER, AND PURSUI",Legislation,Vagrant Act
169,"1866 - CAPTURE OF WARD, THE BUSHRANGER, AND PURSUI",Captain Thunderbolt,Thunderbolt being crippled.
169,"1866 - CAPTURE OF WARD, THE BUSHRANGER, AND PURSUI",Injured,Thunderbolt being crippled.
170,"1866 - CAPTURE OF WARD, THE BUSHRANGER, AND PURSUI",Positive mentioning,"mount his horse well, and ride like the wind."
171,"1866 - CAPTURE OF WARD, THE BUSHRANGER, AND PURSUI",Intent to capture ,without their prize—Ward
172,"1866 - CAPTURE OF WARD, THE BUSHRANGER, AND PURSUI",Escaped,escaped
174,"1866 - CAPTURE OF WARD, THE BUSHRANGER, AND PURSUI",Law Enforcement,"police party, headed by Mr. Garvin,"
173,"1866 - CAPTURE OF WARD, THE BUSHRANGER, AND PURSUI",Captain Thunderbolt,Ward
175,"1866 - CAPTURE OF WARD, THE BUSHRANGER, AND PURSUI",Negative response to Bushrangers,fugitive
176,"1866 - CAPTURE OF WARD, THE BUSHRANGER, AND PURSUI",Delayed response,delay
176,"1866 - CAPTURE OF WARD, THE BUSHRANGER, AND PURSUI",Police response,delay
177,"1866 - CAPTURE OF WARD, THE BUSHRANGER, AND PURSUI",Indigenous tracker,black tracker
178,"1866 - CAPTURE OF WARD, THE BUSHRANGER, AND PURSUI",Womans composure mentioned,"We may mention that the girl was clothed completely in men’s apparel, and rode as men usually do."
179,"1866 - CAPTURE OF WARD, THE BUSHRANGER, AND PURSUI",Children,"ne of her children, about six years of age, is also described as a good rider."
180,"1866 - CAPTURE OF WARD, THE BUSHRANGER, AND PURSUI",Location,Dungog
181,"1866 - CAPTURE OF WARD, THE BUSHRANGER, AND PURSUI",Captain Thunderbolt,Thunderbolt
182,"1866 - CAPTURE OF WARD, THE BUSHRANGER, AND PURSUI",Location,mountains between Gloucester and New England.
183,"1866 - CAPTURE OF WARD, THE BUSHRANGER, AND PURSUI",Archive stored at,National Library of Australia
102,1865 - ONE HUNDRED POUNDS REWARD..txt,Newspaper,New South Wales Government Gazette
103,1865 - ONE HUNDRED POUNDS REWARD..txt,Date article was published,Wednesday 27 December 1865
104,1865 - ONE HUNDRED POUNDS REWARD..txt,Newspaper page,page 294
105,1865 - ONE HUNDRED POUNDS REWARD..txt,Government report in Newspaper,"Colonial-Secretary’s Office,"
106,1865 - ONE HUNDRED POUNDS REWARD..txt,Date of notice,"Sydney, 4th December, 1865."
110,1865 - ONE HUNDRED POUNDS REWARD..txt,Police response,ONE HUNDRED POUNDS BEWABD Fofc the Apprehension
107,1865 - ONE HUNDRED POUNDS REWARD..txt,Captain Thunderbolt,Frederick wabd (otherwise known as ” Thunderbolt
111,1865 - ONE HUNDRED POUNDS REWARD..txt,Money ,£25
108,1865 - ONE HUNDRED POUNDS REWARD..txt,Captain Thunderbolt,"Frederick Ward,"
109,1865 - ONE HUNDRED POUNDS REWARD..txt,Reference to previous crime,lltn of September previous
112,1865 - ONE HUNDRED POUNDS REWARD..txt,Police response,"overnment will pay a Reward of £50 (to be similarly divided) for the apprehension of any accomplices of the said Frederick Ward,"
115,1865 - ONE HUNDRED POUNDS REWARD..txt,Author,CHARLES COWPER.
113,1865 - ONE HUNDRED POUNDS REWARD..txt,Archive stored at,National Library of Australia
240,1867 - Epitome of News. A CHASE AFTER THUNDERBOLT.,Newspaper,Armidale Express and New England General Advertiser
241,1867 - Epitome of News. A CHASE AFTER THUNDERBOLT.,State,NSW
242,1867 - Epitome of News. A CHASE AFTER THUNDERBOLT.,Date article was published,Saturday 14 December 1867
243,1867 - Epitome of News. A CHASE AFTER THUNDERBOLT.,Reference to previous crime,ast Saturday’s Tamworth Examiner
243,1867 - Epitome of News. A CHASE AFTER THUNDERBOLT.,Original newspaper that article was published,ast Saturday’s Tamworth Examiner
244,1867 - Epitome of News. A CHASE AFTER THUNDERBOLT.,Captain Thunderbolt,"Frederick i Ward, alias. Thunderbolt"
245,1867 - Epitome of News. A CHASE AFTER THUNDERBOLT.,Location,Manilla
247,1867 - Epitome of News. A CHASE AFTER THUNDERBOLT.,Item stolen,horse
246,1867 - Epitome of News. A CHASE AFTER THUNDERBOLT.,Location,Breeza
248,1867 - Epitome of News. A CHASE AFTER THUNDERBOLT.,Law Enforcement,"The chase lasted for about two or three v miles, wben Ward gained on the trooper, ‘.and gradually drew ahead, eventually get ting clean off"
248,1867 - Epitome of News. A CHASE AFTER THUNDERBOLT.,Escaped,"The chase lasted for about two or three v miles, wben Ward gained on the trooper, ‘.and gradually drew ahead, eventually get ting clean off"
248,1867 - Epitome of News. A CHASE AFTER THUNDERBOLT.,Response to police,"The chase lasted for about two or three v miles, wben Ward gained on the trooper, ‘.and gradually drew ahead, eventually get ting clean off"
248,1867 - Epitome of News. A CHASE AFTER THUNDERBOLT.,Police response,"The chase lasted for about two or three v miles, wben Ward gained on the trooper, ‘.and gradually drew ahead, eventually get ting clean off"
248,1867 - Epitome of News. A CHASE AFTER THUNDERBOLT.,Intent to capture ,"The chase lasted for about two or three v miles, wben Ward gained on the trooper, ‘.and gradually drew ahead, eventually get ting clean off"
249,1867 - Epitome of News. A CHASE AFTER THUNDERBOLT.,Archive stored at,National Library of Australia
266,1867 - TWO HUNDRED POUNDS REWARD.txt,Newspaper,New South Wales Government Gazette
267,1867 - TWO HUNDRED POUNDS REWARD.txt,State,NSW
268,1867 - TWO HUNDRED POUNDS REWARD.txt,Date article was published,Tuesday 28 May 1867
269,1867 - TWO HUNDRED POUNDS REWARD.txt,Government report in Newspaper,"Colonial Secretary’s Office,"
270,1867 - TWO HUNDRED POUNDS REWARD.txt,Reward for capture,TWO HUNDRED POUNDS BEWAJtD Foe the Apprehensi
271,1867 - TWO HUNDRED POUNDS REWARD.txt,Captain Thunderbolt,Frederick Wabd (otherwise known as ” Thunderbolt”)
272,1867 - TWO HUNDRED POUNDS REWARD.txt,Reference to previous crime,"who effected his escape from the Penal Estab lishment, Cockatoo Island, on the 11th September, 1863"
273,1867 - TWO HUNDRED POUNDS REWARD.txt,Negative response to Bushrangers,commission of divers other serious crimes
274,1867 - TWO HUNDRED POUNDS REWARD.txt,Reward for capture,£100 was offered by the Govern ment for the capture of this offende
275,1867 - TWO HUNDRED POUNDS REWARD.txt,Reward for capture,"increased Beward of £200 will be paid by the Government for the apprehension of the abovenamed offender,"
276,1867 - TWO HUNDRED POUNDS REWARD.txt,Gang,"Reward of £50, to be similarly divided, for | the apprehension of any accomplices of the said Frederick Ward, arrested in nis company, or associated with him in the commission of crime"
276,1867 - TWO HUNDRED POUNDS REWARD.txt,Reward for capture,"Reward of £50, to be similarly divided, for | the apprehension of any accomplices of the said Frederick Ward, arrested in nis company, or associated with him in the commission of crime"
277,1867 - TWO HUNDRED POUNDS REWARD.txt,Author,HENRY PARKES
264,1867 - TWO HUNDRED POUNDS REWARD.txt,Archive stored at,National Library of Australia
288,1870 - THE BUSHRANGER THUNDERBOLT SHOT DEAD..txt,Newspaper,South Australian Advertiser
289,1870 - THE BUSHRANGER THUNDERBOLT SHOT DEAD..txt,State,SA
290,1870 - THE BUSHRANGER THUNDERBOLT SHOT DEAD..txt,Date article was published,Saturday 28 May 1870
291,1870 - THE BUSHRANGER THUNDERBOLT SHOT DEAD..txt,Captain Thunderbolt,THUNDER- BOLT SHOT DEAD.
291,1870 - THE BUSHRANGER THUNDERBOLT SHOT DEAD..txt,Death,THUNDER- BOLT SHOT DEAD.
292,1870 - THE BUSHRANGER THUNDERBOLT SHOT DEAD..txt,Location,Uralla
296,1870 - THE BUSHRANGER THUNDERBOLT SHOT DEAD..txt,Intent to capture ,pursued for two miles
295,1870 - THE BUSHRANGER THUNDERBOLT SHOT DEAD..txt,Response to police,"Walker, shot Thunderbolt"
295,1870 - THE BUSHRANGER THUNDERBOLT SHOT DEAD..txt,Police response,"Walker, shot Thunderbolt"
295,1870 - THE BUSHRANGER THUNDERBOLT SHOT DEAD..txt,Threatened with weapon,"Walker, shot Thunderbolt"
295,1870 - THE BUSHRANGER THUNDERBOLT SHOT DEAD..txt,Death,"Walker, shot Thunderbolt"
293,1870 - THE BUSHRANGER THUNDERBOLT SHOT DEAD..txt,Archive stored at,National Library of Australia
144,1866 - CAPTAIN THUNDERBOLT HARD-UP..txt,Newspaper,South Australian Weekly Chronicle
145,1866 - CAPTAIN THUNDERBOLT HARD-UP..txt,Date article was published,Saturday 21 April 1866
146,1866 - CAPTAIN THUNDERBOLT HARD-UP..txt,Negative response to law enforcement,I beg leaveto complain to you of the sharpness (or rather dullness)of your Adelaide detectives
151,1866 - CAPTAIN THUNDERBOLT HARD-UP..txt,Wanted to rob,madeour fingers itchand our mouths water
152,1866 - CAPTAIN THUNDERBOLT HARD-UP..txt,Described as not criminals,manner not becoming persons of our respectability
148,1866 - CAPTAIN THUNDERBOLT HARD-UP..txt,Captain Thunderbolt,Captain Thunderbolt.
150,1866 - CAPTAIN THUNDERBOLT HARD-UP..txt,Gang,Captain Thunderbolt.
147,1866 - CAPTAIN THUNDERBOLT HARD-UP..txt,Jemmy the Whisperer,Jemmy Johnson.
149,1866 - CAPTAIN THUNDERBOLT HARD-UP..txt,Gang,Jemmy Johnson.
155,1866 - CAPTAIN THUNDERBOLT HARD-UP..txt,Described as not criminals,inepenny stampswhen twopennyones are sufficient.
153,1866 - CAPTAIN THUNDERBOLT HARD-UP..txt,Archive stored at,National Library of Australia
219,1867 - CAPTAIN THUNDERBOLT report.txt,Newspaper,Geelong Advertiser
220,1867 - CAPTAIN THUNDERBOLT report.txt,State,Vic
221,1867 - CAPTAIN THUNDERBOLT report.txt,Date article was published,"Friday 7 June 1867,"
222,1867 - CAPTAIN THUNDERBOLT report.txt,Author,JamesN. Roper
223,1867 - CAPTAIN THUNDERBOLT report.txt,Newspaper,ArmidaleExpress
224,1867 - CAPTAIN THUNDERBOLT report.txt,Captain Thunderbolt,Thunderbolt
225,1867 - CAPTAIN THUNDERBOLT report.txt,Law Enforcement,"SeniorConstable Langworthy, in Ashford"
226,1867 - CAPTAIN THUNDERBOLT report.txt,Reference to previous crime,Tamworthmail robbery
227,1867 - CAPTAIN THUNDERBOLT report.txt,Captain Thunderbolt,Thunderbolt and his boy
227,1867 - CAPTAIN THUNDERBOLT report.txt,Thomas Mason,Thunderbolt and his boy
231,1867 - CAPTAIN THUNDERBOLT report.txt,Victim,"Archie Livingstone, the storekeeper, and Old Dick, a shepherd, were sittingin my company"
228,1867 - CAPTAIN THUNDERBOLT report.txt,Textual Techniques,‘That’sThunderbolt!’
228,1867 - CAPTAIN THUNDERBOLT report.txt,Suggestive Language,‘That’sThunderbolt!’
228,1867 - CAPTAIN THUNDERBOLT report.txt,Eye witness account,‘That’sThunderbolt!’
229,1867 - CAPTAIN THUNDERBOLT report.txt,Wanted to rob,"Pullinga horse pistol outof hisbelt, he"
230,1867 - CAPTAIN THUNDERBOLT report.txt,Victim,"He calledthe othertwo, askedme for the key of the store,and then marched all three of us intoit,locked us up,placinghisboy to guardus andhishorse, armedwith"
230,1867 - CAPTAIN THUNDERBOLT report.txt,No harm to victims,"He calledthe othertwo, askedme for the key of the store,and then marched all three of us intoit,locked us up,placinghisboy to guardus andhishorse, armedwith"
232,1867 - CAPTAIN THUNDERBOLT report.txt,Threatened with weapon,s ugly pistol all the time beingin closeproximity to my head.
233,1867 - CAPTAIN THUNDERBOLT report.txt,Terror,"Both of us appeared very nervous; my hand trembled in trying to countthe money, and his with the pistol trembling stillmore"
233,1867 - CAPTAIN THUNDERBOLT report.txt,Thunderbolt scared,"Both of us appeared very nervous; my hand trembled in trying to countthe money, and his with the pistol trembling stillmore"
234,1867 - CAPTAIN THUNDERBOLT report.txt,No harm to victims,"me thesilver, as I wantedit to carryon the business with,when he gave me about12 shillings back.I then told him 23 shillings done up by itself,belonged to the ostler, whichhe couldill affordto lose.He replied,’ I won’ttakethe ostler’s money,‘and leftit."
234,1867 - CAPTAIN THUNDERBOLT report.txt,Gave money back,"me thesilver, as I wantedit to carryon the business with,when he gave me about12 shillings back.I then told him 23 shillings done up by itself,belonged to the ostler, whichhe couldill affordto lose.He replied,’ I won’ttakethe ostler’s money,‘and leftit."
235,1867 - CAPTAIN THUNDERBOLT report.txt,Charming,paidfor
235,1867 - CAPTAIN THUNDERBOLT report.txt,Gave money back,paidfor
236,1867 - CAPTAIN THUNDERBOLT report.txt,Positive mentioning,"He thanked me for my a vice,and saidhe hadtriedit once,butdidnotfindit answer, for he was too wellknown,and a marked man. He is a man of agreeable appearance and pleasantconversation. He related,some most astonishing feats of horsemanship, and narrowescapes of life. He has a remarkably quickeye;He never fora moment allowedoneof us outof sight, and was watching all roadsat once"
236,1867 - CAPTAIN THUNDERBOLT report.txt,Eye witness account,"He thanked me for my a vice,and saidhe hadtriedit once,butdidnotfindit answer, for he was too wellknown,and a marked man. He is a man of agreeable appearance and pleasantconversation. He related,some most astonishing feats of horsemanship, and narrowescapes of life. He has a remarkably quickeye;He never fora moment allowedoneof us outof sight, and was watching all roadsat once"
